283 1571391268 0,000000 1,000000 7,000000 7,000000 0,000000
283 1571391268 0,000000 0,400000 0,000000 0,000000 0,000000
283 1571391285 -35,000000 0,333333 0,000000 0,000000 3445,703704
283 1571391284 -35,000000 0,333333 11,666667 11,666667 3445,703704
283 1571391283 -35,000000 0,333333 23,333333 23,333333 3445,703704
283 1571391282 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391281 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391280 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391279 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391278 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391277 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391276 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391275 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391274 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391273 0,000000 0,200000 35,000000 35,000000 2040,200000
283 1571391272 35,000000 0,200000 35,000000 35,000000 2050,000000
283 1571391271 35,000000 0,200000 28,000000 28,000000 2050,000000
283 1571391270 35,000000 0,200000 21,000000 21,000000 2050,000000
283 1571391269 70,000000 0,200000 14,000000 14,000000 2079,400000
